Year	cd	State Code	State Name	Conccat	Bachelors_degree_or_higher	high_school_or_some_degree	Less_than_high_school_graduate	Less_than_$5000	$5000_to_$9999	$10000_to_$14999	$15000_to_$19999	$20000_to_$24999	$25000_to_$34999	$35000_to_$49999	$50000_to_$74999	$75000_to_$99999	$100000_to_$149999	$150000_or_more	Total_Agriculture_forestry_fishing_hunting_mining	Total_Construction	Total_Manufacturing	Total_Wholesale_trade	Total_Retail_trade	Total_Transportation_warehousing_utilities	Total_Information	Total_Finance_insurance_realestate_rental_leasing	Total_Professional_scientific_management_administrative_waste_management_services	Total_Educationalservices_healthcare_socialassistance	Total_Arts_entertainment_recreation_accommodation_foodservices	Total_Otherservices_except_Public_administration	Total_Public_administration	Male	Male_Agriculture_forestry_fishing_hunting_mining	Male_Construction	Male_Manufacturing	Male_Wholesale_trade	Male_Retail_trade	Male_Transportation_warehousing_utilities	Male_Information	Male_Finance_insurance_realestate_rental_leasing	Male_Professional_scientific_management_administrative_waste_management_services	Male_Educationalservices_healthcare_socialassistance	Male_Arts_entertainment_recreation_accommodation_foodservices	Male_Otherservices_except_Public_administration	Male_Public_administration	Female	Female_Agriculture_forestry_fishing_hunting_mining	Female_Construction	Female_Manufacturing	Female_Wholesale_trade	Female_Retail_trade	Female_Transportation_warehousing_utilities	Female_Information	Female_Finance_insurance_realestate_rental_leasing	Female_Professional_scientific_management_administrative_waste_management_services	Female_Educationalservices_healthcare_socialassistance	Female_Arts_entertainment_recreation_accommodation_foodservices	Female_Otherservices_except_Public_administration	Female_Public_administration
2020	3_TX	TX		20203_TX	288594	333303	53298	7016	5085		7821	8929	20375		54542	50406			4178	27881	44879	13867	40049	19118	16051	50926	71884	80212	23324	18259	13880	248146	3151	24294	34402	9771	24229	15132	11766	24693	46525	21766	13867	9918	8632	176362	1027	3587	10477	4096	15820	3986	4285	26233	25359	58446	9457	8341	5248
2020	3_UT		Utah	20203_UT	69966	158046	16088	2970	2602	4003	4690	5161	10397	14888	24090	18334	21872	19140	5358	10187	9705	3515	12634	6895	2897	9467	16843	24315	7735	4324	5540	76054	4846	9481	7344	2762	7795	5643	1945	5358	11291	8988	4352	2773	3476	43361	512	706	2361	753	4839	1252	952	4109	5552	15327	3383	1551	2064
2020	3_VA	VA	Virginia	20203_VA	105095	306616	37675	11511	8920	11324	12111	13484		37710	53450	33848	34769	21099	667	14730	27985		19481	11846	3230	11381	27205	48579	14802	8460	22777	112477	615	13134	20910	3160	9724	8222	1907	4594	14848	10529	6978	4011	13845	103644	52	1596	7075	1818	9757	3624	1323	6787	12357	38050	7824	4449	8932
2020	3_WA	WA	Washington	20203_WA	133558	346745		7522	6653	10536		13283	24618	40083	62162	48089	62075	48093	5087	24547	36260	9212			3926	17614	26841	54193	14273	11623		162505	4137	22411	29161	7399	14598	16332	2768	7741	17156	13977	7097	6551	13177	113392	950	2136	7099	1813	11338	4212	1158	9873	9685	40216	7176	5072	12664
2020	3_WI	WI	Wisconsin	20203_WI	125892	371307	35016	8060	7823	16106	16107	16291	32756	48142			55180	30389	14028	19987	62699	9037	31667	18199	4837	20334	17830	66663	13170	10437	13501	172864	11804	18609	45309	6841	17851	14620	2698	7780	10192		7036	6201	7414	129525	2224	1378	17390	2196	13816	3579	2139	12554	7638	50154	6134	4236	6087
2020	30_CA	CA	California	202030_CA	97199	104480	19412	4310	4118	10137	6795	5787	10450	12735	21417	15415	20985	21899	254	5038	7295	3142	9706	6144	12310	8904	17400	22801	14164	7778	4367	67403	163	4636		1999	6113	4807	7774	4591	10388	7463	8797	3916		51900	91	402	2725	1143	3593	1337	4536	4313	7012	15338	5367	3862	2181
2020	30_TX	TX		202030_TX		429836	157863		13282	17608	16874	19702	40142	53993	74670	50887	54312	40178	2576	54594		13684	41158	34523	8454	34857	48382	80017	26871	18001	16722	236085	1882	51365	26918	9896	21725	25612	4838	14341	27021	20193	13663	10681	7950	183248	694	3229	12576	3788	19433	8911	3616	20516		59824	13208	7320	8772
2020	31_CA	CA	California	202031_CA	58236	137709	42532	2288	1903	4287		4817	8358	11906	18579	15615	18828	17412	754	8594	16277	5899	11817	9487	2078	8615	13325	24666	9896	6391	6303	72720	616	7855	11321	4027	7267	7168	1296	3906	8841	7925	5945	3527	3026	51382	138	739	4956	1872	4550	2319	782	4709	4484	16741	3951	2864	3277
2020	31_TX	TX	Texas	202031_TX	70307	154484		2849			4664	4954	9931	15733	25051	20973	27354	21915		14188	15762	4040	13622	6312	2629	9793	17590	30203	7821	6088	10449	79827	1819	12942	11171	3232		5127	1878	4017	10753	7436	4256	3694	5623	60716	227	1246	4591	808	5743	1185	751	5776	6837	22767	3565	2394	4826
2020	32_CA	CA	California	202032_CA	440688	439154	89285	18032	9967	21966	17188	17964	34255		77948	63616	95852	156323	1854	27617	39252	15073	41322	19654	47969	52728		103473	46039	22832	14328	303223	1404		27116	10880	23502	15324	28544	28745	57667	37109	28617	11127	7942	223064		2371	12136	4193	17820	4330	19425	23983	36479	66364	17422	11705	6386
2020	32_TX	TX	Texas	202032_TX	18940	17403	3745	402	348	436	597	809	2215	2120	4325	3374	4700	5582	252	1372		469	3008	1257	856	2691	5571	5283	2192	1739	692	14363	234	1343	1475	302	1704	983		1276	2885	1287	867	1079	408	13029	18	29	535	167	1304	274	336	1415	2686	3996	1325	660	284
	33_CA	CA	California	202033_CA	23167	144950	62033		2491	5491	4669	5138	9848	13311	20627	13722	13340	6689	619	11782	13631	4482	13180	19752	1018	3913	9646	15951	7395	6195	4513	70684	471	11197	10124	2974	7245	14038	921	1689	6452	4734	4348	4421	2070	41393	148	585	3507	1508	5935	5714	97	2224	3194	11217	3047	1774	2443
2020	33_TX	TX	Texas	202033_TX	13214	39606	21968	1203	879	1243	1300	1714	3934	6541	8107	4739	4779	2703	132	7182	4614	1419	3500	4084	545	3453	5055	5518	4556	1470	565		97	6952	3013	790	1829	3269	307	1695	2651	1820	2724	862	347	15737		230	1601	629	1671	815	238	1758	2404	3698	1832	608	218
2020	34_CA	CA	California	202034_CA	254457	389221	189573	18731	13723	28292	21181	22174	40600	53510	70046		56203	57797	1245	29274	39968	15684	41010	23486	21312	23998	57549	75250	51314			245477	1002	27549	26598	10388	23802	18615	13059	12114	34355	25664	32773	12321	7237	173466	243		13370	5296	17208	4871	8253	11884	23194	49586	18541	12664	6631
2020	34_TX		Texas	202034_TX	103858	355379	148719	14087	18909	22447	22259	19145	35313	41612	54086	32224	34912	19555	9372	24880	17792	6948	29904	15459	4073	13818	23658	87628	18494	13121	20114	165943	8702	23261	14372	5306	17717	13320	2765	5407	15777	27693	10459	8067	13097	119318	670	1619	3420	1642	12187	2139	1308	8411	7881	59935	8035	5054	7017
2020	35_CA	CA	California	202035_CA	65461	138076	35687	2466	1418	3248	3454	4117	6986	11454	19519	16497	21249	22057	943	9761	14979	6815	11991	11362	1426	7979	14225	24565	7290	4963	6600	73551	654	8903	10727	4781	7425		1004	3942		8026	4060	2807	3751	49348	289	858		2034	4566	2938	422	4037	5178	16539	3230	2156	2849
2020	35_TX	TX	Texas	202035_TX	110048	248102	68802	8901	6615	9300	8277	10065	21857	29884	41381	29234	32967		1775	29737	17988	6884	25861	12036	5965	14681	31232	45487	20500	9980	16019	138522			13050	5019	15840	9302	3868	6447	18253	13231	11163	5877	7375	99623	251	2164	4938	1865	10021	2734	2097	8234	12979	32256	9337	4103	8644
